Experiment 1
Rho, Avg num of programs, Time spent by program, Blocking prob, departures, Block Count
0.100000, 0.202208, 0.337013, 0.000195, 200001, 39
0.200000, 0.415110, 0.345925, 0.002290, 200001, 459
0.300000, 0.642520, 0.356955, 0.008512, 200001, 1717
0.400000, 0.883130, 0.367971, 0.022683, 200001, 4642
0.500000, 1.127450, 0.375817, 0.043474, 200001, 9090
0.600000, 1.380350, 0.383430, 0.071676, 200001, 15442
0.700000, 1.617097, 0.385023, 0.105249, 200001, 23526
0.800000, 1.847506, 0.384897, 0.143809, 200001, 33593
0.900000, 2.041310, 0.378020, 0.181352, 200001, 44306
1.000000, 2.223898, 0.370650, 0.221180, 200001, 56799

Experiment 2

Rho, User Capacity, Avg num of programs, Time spent by program, Blocking prob, departures, Block Count
0.100000, 1, 0.699685, 0.152105, 0.549037, 200001, 243497
0.200000, 1, 0.849438, 0.163353, 0.526395, 200001, 222294
0.300000, 1, 1.020529, 0.175953, 0.509060, 200001, 207383
0.400000, 1, 1.214441, 0.189756, 0.496195, 200001, 196981
0.500000, 1, 1.402770, 0.200396, 0.488563, 200001, 191056
0.600000, 1, 1.613387, 0.212288, 0.484966, 200001, 188326
0.700000, 1, 1.807427, 0.220418, 0.485966, 200001, 189082
0.800000, 1, 1.990943, 0.226244, 0.492606, 200001, 194174
0.900000, 1, 2.160726, 0.229864, 0.500478, 200001, 200387
1.000000, 1, 2.321466, 0.232147, 0.510043, 200001, 208201

Rho, User Capacity, Avg num of programs, Time spent by program, Blocking prob, departures, Block Count
0.100000, 3, 1.483717, 0.322547, 0.186216, 200001, 45766
0.200000, 3, 1.666526, 0.320486, 0.216661, 200001, 55318
0.300000, 3, 1.851202, 0.319173, 0.249399, 200001, 66454
0.400000, 3, 2.026307, 0.316610, 0.281724, 200001, 78445
0.500000, 3, 2.193993, 0.313428, 0.316499, 200001, 92612
0.600000, 3, 2.338284, 0.307669, 0.347355, 200001, 106446
0.700000, 3, 2.468709, 0.301062, 0.376425, 200001, 120733
0.800000, 3, 2.575066, 0.292621, 0.402321, 200001, 134629
0.900000, 3, 2.696007, 0.286809, 0.430053, 200001, 150912
1.000000, 3, 2.791961, 0.279196, 0.457049, 200001, 168359
